PID pid_obj(2.3, 0 , 0.14)
Time, Theta, Acc, Vel
10524, 40.65, -2.57, -50.59
12364, 40.65, -2.57, -51.21
14160, 40.65, -0.93, -51.36
15960, 40.65, -0.93, -51.51
21688, 32.09, 0.31, -50.24
23448, 32.09, 0.31, -50.19
25240, 32.09, -0.74, -50.31
30928, 4.95, 3.24, -37.19
32648, 4.95, 3.24, -36.62
-31132, 4.95, -0.11, -36.64
-29368, 4.95, -0.11, -36.66
-23640, -23.27, 4.00, -20.10
-21864, -23.27, 4.00, -19.39
-20064, -23.27, 0.54, -19.30
-14320, -45.38, 3.75, -3.93
-12588, -45.38, 3.75, -3.26
-10820, -45.38, 1.04, -3.09
-5152, -36.57, -0.25, -4.11
-3456, -36.57, -0.25, -4.16
-1728, -36.57, 0.84, -4.02
-28, -36.57, 0.84, -3.87
5472, -13.94, -2.57, -14.28
7220, -13.94, -2.57, -14.75
8980, -13.94, 0.32, -14.70
14640, -4.37, -1.09, -19.13
16368, -4.37, -1.09, -19.33
18132, -4.37, 0.10, -19.31
19884, -4.37, 0.10, -19.29
25568, -5.01, 0.19, -18.49
27288, -5.01, 0.19, -18.46
29036, -5.01, 0.12, -18.44
-30800, -5.72, 0.22, -17.54
-29068, -5.72, 0.22, -17.50
-27312, -5.72, 0.13, -17.48
-25548, -5.72, 0.13, -17.46
-19864, 0.62, -0.80, -20.72
-18136, 0.62, -0.80, -20.87
-16388, 0.62, -0.01, -20.87
-10748, 17.95, -2.57, -31.29
-8968, 17.95, -2.57, -31.73
-7212, 17.95, -0.41, -31.80
-5472, 17.95, -0.41, -31.86
260, 11.52, 0.52, -29.70
1928, 11.52, 0.52, -29.61
3668, 11.52, -0.26, -29.66
9300, -3.45, 1.95, -21.78
10980, -3.45, 1.95, -21.43
12740, -3.45, 0.08, -21.42
14492, -3.45, 0.08, -21.40
20140, -7.96, 0.74, -18.37
21868, -7.96, 0.74, -18.24
23628, -7.96, 0.18, -18.21
29236, -10.94, 0.62, -15.70
31008, -10.94, 0.62, -15.59
-32724, -10.94, 0.25, -15.54
-30928, -10.94, 0.25, -15.50
-25220, -17.13, 1.16, -10.81
-23424, -17.13, 1.16, -10.60
-21616, -17.13, 0.39, -10.53
-15880, -16.41, 0.29, -9.35
-14148, -16.41, 0.29, -9.30
-12396, -16.41, 0.38, -9.24
-10628, -16.41, 0.38, -9.17
-4940, -2.53, -1.66, -15.95
-3248, -2.53, -1.66, -16.25
-1464, -2.53, 0.06, -16.23
4124, 20.74, -3.41, -30.00
5848, 20.74, -3.41, -30.60
7592, 20.74, -0.48, -30.68
9344, 20.74, -0.48, -30.76
15000, 43.23, -3.79, -46.16
16788, 43.23, -3.79, -46.82
18592, 43.23, -0.99, -46.99
24320, 56.25, -2.89, -58.83
26104, 56.25, -2.89, -59.34
27908, 56.25, -1.29, -59.54
-31932, 35.48, 1.75, -52.45
-30148, 35.48, 1.75, -52.14
-28344, 35.48, -0.82, -52.28
-26540, 35.48, -0.82, -52.41
-20748, 11.71, 2.62, -41.57
-18968, 11.71, 2.62, -41.12
-17160, 11.71, -0.27, -41.16
-11464, -19.58, 4.31, -23.71
-9672, -19.58, 4.31, -22.95
-7900, -19.58, 0.45, -22.88
-6156, -19.58, 0.45, -22.81
-464, -30.85, 2.10, -14.20
1228, -30.85, 2.10, -13.83
2972, -30.85, 0.71, -13.71
8648, -37.34, 1.66, -6.94
10332, -37.34, 1.66, -6.64
12084, -37.34, 0.86, -6.50
13836, -37.34, 0.86, -6.36
19532, -34.82, 0.49, -4.35
21256, -34.82, 0.49, -4.26
23012, -34.82, 0.80, -4.13
28632, -17.90, -1.70, -11.00
30400, -17.90, -1.70, -11.30
32200, -17.90, 0.41, -11.23
-31532, -17.90, 0.41, -11.16
-25792, 6.96, -3.20, -24.31
-24004, 6.96, -3.20, -25.07
-22248, 6.96, -0.16, -25.10
-16596, 29.53, -3.48, -39.27
-14812, 29.53, -3.48, -39.87
-13004, 29.53, -0.68, -39.98
-7300, 40.20, -2.24, -49.07
-5568, 40.20, -2.24, -49.46
-3748, 40.20, -0.92, -49.65
-2000, 40.20, -0.92, -49.81
3660, 36.07, -0.32, -51.10
5384, 36.07, -0.32, -51.16
7124, 36.07, -0.83, -51.29
12768, 5.29, 3.72, -36.22
14496, 5.29, 3.72, -35.55
16244, 5.29, -0.12, -35.57
18000, 5.29, -0.12, -35.59
23660, -21.93, 3.89, -19.74
25436, -21.93, 3.89, -19.05
27232, -21.93, 0.50, -18.97
-32588, -47.81, 4.29, -1.47
-30852, -47.81, 4.29, -0.69
-29092, -47.81, 1.10, -0.51
-27332, -47.81, 1.10, -0.33
-21656, -49.60, 1.36, 5.22
-19928, -49.60, 1.36, 5.46
-18172, -49.60, 1.14, 5.65
-12552, -20.54, -3.16, -7.09
-10808, -20.54, -3.16, -7.65
-9036, -20.54, 0.47, -7.58
-7332, -20.54, 0.47, -7.50
-1728, 19.94, -5.54, -29.95
68, 19.94, -5.54, -31.28
1712, 19.94, -0.46, -31.35
7336, 48.63, -4.71, -50.35
9068, 48.63, -4.71, -51.16
10836, 48.63, -1.12, -51.34
12640, 48.63, -1.12, -51.53
18380, 51.91, -1.60, -58.06
20216, 51.91, -1.60, -58.44
22016, 51.91, -1.19, -58.64
27704, 33.80, 1.46, -52.72
29468, 33.80, 1.46, -52.46
31260, 33.80, -0.78, -52.59
-28596, -7.48, 5.29, -31.18
-26860, -7.48, 5.29, -30.23
-25092, -7.48, 0.17, -30.20
-23336, -7.48, 0.17, -30.17
-17680, -38.41, 4.72, -10.99
-15888, -38.41, 4.72, -10.16
-14072, -38.41, 0.88, -10.02
-8368, -59.39, 3.96, 6.02
-6684, -59.39, 3.96, 6.72
-4972, -59.39, 1.37, 6.95
-3264, -59.39, 1.37, 7.17
2344, -51.17, 0.14, 7.76
4016, -51.17, 0.14, 7.78
5716, -51.17, 1.18, 7.97
11312, -17.15, -3.88, -7.75
13044, -17.15, -3.88, -8.45
14808, -17.15, 0.39, -8.39
16568, -17.15, 0.39, -8.32
22208, 20.01, -5.09, -28.92
24040, 20.01, -5.09, -30.12
25832, 20.01, -0.46, -30.20
31476, 40.58, -3.50, -44.25
-32280, 40.58, -3.50, -44.85
-30476, 40.58, -0.93, -45.00
-28692, 40.58, -0.93, -45.15
-22968, 35.54, -0.20, -45.96
-21192, 35.54, -0.20, -45.99
-19336, 35.54, -0.82, -46.18
-13636, 11.38, 2.71, -35.16
-11852, 11.38, 2.71, -34.69
-10048, 11.38, -0.26, -34.74
-8248, 11.38, -0.26, -34.78
-2564, -28.78, 5.64, -11.76
-816, -28.78, 5.64, -10.75
892, -28.78, 0.66, -10.64
6500, -52.64, 4.20, 6.42
8172, -52.64, 4.20, 7.16
9876, -52.64, 1.21, 7.37
11584, -52.64, 1.21, 7.57
17236, -70.31, 3.82, 23.06
19012, -70.31, 3.82, 23.73
20816, -70.31, 1.62, 24.00
26568, -66.24, 1.03, 28.23
28344, -66.24, 1.03, 28.41
30144, -66.24, 1.52, 28.66
-29700, -37.84, -2.64, 18.01
-27912, -37.84, -2.64, 17.53
-26100, -37.84, 0.87, 17.68
-24292, -37.84, 0.87, 17.82
-18596, -7.71, -3.54, 3.42
-16900, -7.71, -3.54, 2.79
-15188, -7.71, 0.18, 2.82
-9620, 33.71, -6.00, -21.35
-7884, 33.71, -6.00, -22.41
-6140, 33.71, -0.78, -22.54
-4384, 33.71, -0.78, -22.67
1360, 66.38, -5.52, -45.54
3096, 66.38, -5.52, -46.53
4852, 66.38, -1.53, -46.78
10496, 73.26, -2.54, -57.08
12268, 73.26, -2.54, -57.53
14072, 73.26, -1.69, -57.80
15876, 73.26, -1.69, -58.07
21640, 58.97, 0.39, -56.47
23404, 58.97, 0.39, -56.40
25192, 58.97, -1.36, -56.62
30896, 22.06, 4.04, -40.22
32656, 22.06, 4.04, -39.52
-31092, 22.06, -0.51, -39.61
-29284, 22.06, -0.51, -39.69
-23556, -16.05, 5.04, -19.03
-21784, -16.05, 5.04, -18.14
-19980, -16.05, 0.37, -18.08
-14288, -44.57, 4.55, 0.39
-12568, -44.57, 4.55, 1.19
-10808, -44.57, 1.03, 1.36
-5168, -57.78, 2.97, 13.38
-3428, -57.78, 2.97, 13.90
-1680, -57.78, 1.33, 14.11
92, -57.78, 1.33, 14.35
5628, -46.21, -0.40, 12.72
7360, -46.21, -0.40, 12.65
9104, -46.21, 1.06, 12.83
14724, -18.88, -2.99, 0.79
16448, -18.88, -2.99, 0.24
18188, -18.88, 0.43, 0.32
19928, -18.88, 0.43, 0.39
25568, 6.11, -3.26, -12.86
27304, 6.11, -3.26, -13.44
29068, 6.11, -0.14, -13.46
-30776, 13.32, -1.20, -18.37
-28988, 13.32, -1.20, -18.58
-27184, 13.32, -0.31, -18.63
-25364, 13.32, -0.31, -18.68
-19624, 0.84, 1.51, -12.49
-17900, 0.84, 1.51, -12.22
-16140, 0.84, -0.02, -12.23
-10512, -15.83, 2.45, -2.33
-8772, -15.83, 2.45, -1.90
-7056, -15.83, 0.36, -1.84
-5352, -15.83, 0.36, -1.78
248, -50.08, 5.45, 20.30
1924, -50.08, 5.45, 21.28
3668, -50.08, 1.15, 21.47
9316, -77.27, 5.16, 42.41
11108, -77.27, 5.16, 43.63
12912, -77.27, 1.78, 43.92
14716, -77.27, 1.78, 44.22
20444, -78.42, 1.94, 52.17
22228, -78.42, 1.94, 52.52
24028, -78.42, 1.80, 52.81
29728, -55.48, -1.55, 46.49
31508, -55.48, -1.55, 46.21
-32160, -55.48, 1.28, 46.51
-26448, -14.66, -4.69, 27.43
-24664, -14.66, -4.69, 26.60
-22860, -14.66, 0.34, 26.66
-21060, -14.66, 0.34, 26.71
-15376, 32.86, -6.63, -0.06
-13652, 32.86, -6.63, -1.20
-11896, 32.86, -0.76, -1.32
-6244, 57.36, -4.37, -19.03
-4504, 57.36, -4.37, -19.79
-2736, 57.36, -1.32, -20.00
-984, 57.36, -1.32, -20.23
4636, 76.12, -4.09, -36.84
6428, 76.12, -4.09, -37.79
8172, 76.12, -1.75, -38.08
13820, 76.95, -1.87, -45.67
15600, 76.95, -1.87, -45.99
17396, 76.95, -1.77, -46.28
19200, 76.95, -1.77, -46.57
24900, 61.02, 0.56, -44.30
26664, 61.02, 0.56, -44.20
28440, 61.02, -1.40, -44.42
-31372, 35.28, 2.35, -34.82
-29588, 35.28, 2.35, -34.40
-27792, 35.28, -0.81, -34.53
-25980, 35.28, -0.81, -34.67
-20264, -3.42, 4.84, -14.98
-18532, -3.42, 4.84, -14.10
-16764, -3.42, 0.08, -14.09
-11108, -25.73, 3.37, -0.39
-9380, -25.73, 3.37, 0.20
-7680, -25.73, 0.59, 0.30
-5984, -25.73, 0.59, 0.40
-396, -45.55, 3.53, 14.78
1300, -45.55, 3.53, 15.40
3036, -45.55, 1.05, 15.58
8672, -53.49, 2.22, 24.57
10468, -53.49, 2.22, 25.11
12264, -53.49, 1.23, 25.31
14076, -53.49, 1.23, 25.52
19792, -45.23, 0.02, 25.62
21556, -45.23, 0.02, 25.63
23340, -45.23, 1.04, 25.80
29008, -29.28, -1.30, 20.53
30784, -29.28, -1.30, 20.30
32576, -29.28, 0.67, 20.41
-27252, -6.68, -2.63, 9.70
-25560, -6.68, -2.63, 9.22
-23848, -6.68, 0.15, 9.24
-22140, -6.68, 0.15, 9.27
-16508, 25.30, -4.57, -9.45
-14776, 25.30, -4.57, -10.25
-12960, 25.30, -0.58, -10.35
-7248, 44.77, -3.42, -24.28
-5448, 44.77, -3.42, -25.08
-3696, 44.77, -1.03, -25.24
-1936, 44.77, -1.03, -25.42
3716, 37.82, -0.01, -25.44
5440, 37.82, -0.01, -25.44
7180, 37.82, -0.87, -25.59
12820, 13.69, 2.69, -14.69
14596, 13.69, 2.69, -14.22
16392, 13.69, -0.31, -14.27
18184, 13.69, -0.31, -14.33
23936, -20.22, 4.61, 4.57
25668, -20.22, 4.61, 5.42
27420, -20.22, 0.46, 5.50
-32500, -58.27, 6.10, 30.07
-30660, -58.27, 6.10, 31.56
-28860, -58.27, 1.34, 31.78
-27044, -58.27, 1.34, 32.01
-21312, -75.87, 3.90, 47.92
-19540, -75.87, 3.90, 48.62
-17740, -75.87, 1.75, 48.92
-12024, -63.14, -0.11, 48.46
-10232, -63.14, -0.11, 48.44
-8368, -63.14, 1.45, 48.76
-2708, -26.33, -3.97, 32.66
-964, -26.33, -3.97, 31.93
748, -26.33, 0.61, 32.03
2448, -26.33, 0.61, 32.13
8080, 24.29, -6.87, 4.36
9760, 24.29, -6.87, 3.18
11460, 24.29, -0.56, 3.09
17060, 53.70, -4.92, -16.71
18844, 53.70, -4.92, -17.58
20644, 53.70, -1.24, -17.78
22444, 53.70, -1.24, -17.98
28184, 73.10, -4.06, -34.55
30016, 73.10, -4.06, -35.50
31808, 73.10, -1.68, -35.78
-28040, 67.70, -0.89, -39.39
-26264, 67.70, -0.89, -39.54
-24472, 67.70, -1.56, -39.80
-22672, 67.70, -1.56, -40.06
-16952, 41.40, 2.28, -30.77
-15172, 41.40, 2.28, -30.38
-13376, 41.40, -0.95, -30.53
-7676, 9.67, 3.69, -15.58
-5992, 9.67, 3.69, -14.91
-4292, 9.67, -0.22, -14.95
-2584, 9.67, -0.22, -14.99
3032, -30.06, 5.67, 8.14
4716, -30.06, 5.67, 9.16
6420, -30.06, 0.69, 9.27
12012, -53.60, 4.19, 26.32
13852, -53.60, 4.19, 27.33
15652, -53.60, 1.23, 27.53
17456, -53.60, 1.23, 27.75
23184, -46.14, 0.15, 28.36
24960, -46.14, 0.15, 28.39
26756, -46.14, 1.06, 28.57
32440, -19.34, -2.86, 16.97
-31308, -19.34, -2.86, 16.46
-29496, -19.34, 0.44, 16.53
-23808, 13.09, -4.31, -0.91
-22080, 13.09, -4.31, -1.67
-20324, 13.09, -0.30, -1.72
-18588, 13.09, -0.30, -1.77
-12920, 45.60, -5.09, -22.50
-11152, 45.60, -5.09, -23.40
-9364, 45.60, -1.05, -23.57
-3632, 55.82, -2.54, -34.05
-1892, 55.82, -2.54, -34.51
-128, 55.82, -1.28, -34.72
1584, 55.82, -1.28, -34.93
7260, 34.91, 1.79, -27.63
8984, 34.91, 1.79, -27.32
10732, 34.91, -0.80, -27.45
16424, 2.95, 3.89, -11.70
18136, 2.95, 3.89, -11.02
19880, 2.95, -0.07, -11.03
21616, 2.95, -0.07, -11.04
27264, -46.42, 7.21, 18.31
29048, -46.42, 7.21, 19.61
30852, -46.42, 1.07, 19.79
-29000, -82.24, 6.32, 45.36
-27148, -82.24, 6.32, 46.87
-25336, -82.24, 1.89, 47.19
-19624, -83.31, 2.05, 55.53
-17840, -83.31, 2.05, 55.89
-16036, -83.31, 1.92, 56.20
-14232, -83.31, 1.92, 56.53
-8476, -56.76, -1.94, 48.59
-6728, -56.76, -1.94, 48.24
-4960, -56.76, 1.31, 48.47
676, -17.49, -4.49, 30.34
2368, -17.49, -4.49, 29.55
4128, -17.49, 0.40, 29.62
5856, -17.49, 0.40, 29.68
11496, 20.34, -5.18, 8.60
13212, 20.34, -5.18, 7.69
