PID pid_obj(2.3, 0 , 0.14)
Time, Theta, Acc, Vel
13180, -68.94, 5.63, 41.68
14980, -68.94, 1.59, 41.95
16780, -68.94, 1.59, 42.21
22512, -87.26, 4.25, 59.61
24292, -87.26, 4.25, 60.36
26096, -87.26, 2.01, 60.69
31848, -80.18, 0.98, 64.71
-31916, -80.18, 0.98, 64.88
-30116, -80.18, 1.84, 65.18
-24396, -47.20, -2.97, 53.07
-22624, -47.20, -2.97, 52.55
-20820, -47.20, 1.09, 52.73
-19020, -47.20, 1.09, 52.91
-13232, -4.66, -5.07, 31.90
-11512, -4.66, -5.07, 31.01
-9748, -4.66, 0.11, 31.03
-4152, 38.07, -6.24, 5.69
-2468, 38.07, -6.24, 4.61
-764, 38.07, -0.88, 4.47
880, 38.07, -0.88, 4.33
6428, 60.58, -4.25, -12.93
8160, 60.58, -4.25, -13.68
9920, 60.58, -1.39, -13.91
15580, 66.62, -2.28, -23.20
17352, 66.62, -2.28, -23.59
19156, 66.62, -1.53, -23.84
20960, 66.62, -1.53, -24.07
26672, 69.86, -2.01, -32.23
28508, 69.86, -2.01, -32.70
30304, 69.86, -1.61, -32.96
-29532, 69.83, -1.60, -39.45
-27756, 69.83, -1.60, -39.73
-25948, 69.83, -1.61, -39.99
-24140, 69.83, -1.61, -40.24
-18384, 64.58, -0.84, -43.69
-16608, 64.58, -0.84, -43.84
-14812, 64.58, -1.49, -44.09
-9028, 51.00, 0.48, -42.11
-7304, 51.00, 0.48, -42.03
-5568, 51.00, -1.17, -42.22
100, 16.85, 3.85, -26.54
1776, 16.85, 3.85, -25.86
3512, 16.85, -0.39, -25.93
5264, 16.85, -0.39, -25.99
10928, -11.04, 3.71, -10.82
12712, -11.04, 3.71, -10.16
14516, -11.04, 0.25, -10.12
20208, -40.80, 4.62, 8.60
21924, -40.80, 4.62, 9.41
23680, -40.80, 0.94, 9.57
25408, -40.80, 0.94, 9.73
31084, -57.45, 3.38, 23.56
-32612, -57.45, 3.38, 24.38
-30812, -57.45, 1.32, 24.61
-25088, -50.82, 0.36, 26.05
-23312, -50.82, 0.36, 26.12
-21512, -50.82, 1.17, 26.31
-19696, -50.82, 1.17, 26.50
-13956, -29.48, -1.94, 18.58
-12164, -29.48, -1.94, 18.22
-10360, -29.48, 0.68, 18.33
-4648, -3.00, -3.19, 5.35
-3004, -3.00, -3.19, 4.76
-1360, -3.00, 0.07, 4.77
272, -3.00, 0.07, 4.78
5768, 30.45, -4.99, -15.56
7500, 30.45, -4.99, -16.42
9260, 30.45, -0.70, -16.54
14884, 48.90, -3.43, -30.41
16720, 48.90, -3.43, -31.20
18512, 48.90, -1.12, -31.39
20308, 48.90, -1.12, -31.57
26068, 38.21, 0.43, -29.82
27844, 38.21, 0.43, -29.75
29628, 38.21, -0.88, -29.89
-30192, 10.95, 3.10, -17.25
-28416, 10.95, 3.10, -16.70
-26632, 10.95, -0.25, -16.74
-20916, -22.73, 4.67, 2.25
-19180, -22.73, 4.67, 3.07
-17424, -22.73, 0.52, 3.16
-15668, -22.73, 0.52, 3.25
-9980, -57.47, 5.62, 26.20
-8196, -57.47, 5.62, 27.48
-6432, -57.47, 1.32, 27.71
-780, -71.41, 3.37, 41.37
916, -71.41, 3.37, 41.97
2620, -71.41, 1.64, 42.25
4380, -71.41, 1.64, 42.53
10016, -55.39, -0.72, 39.59
11800, -55.39, -0.72, 39.46
13600, -55.39, 1.27, 39.67
19356, -20.49, -3.79, 24.06
21136, -20.49, -3.79, 23.39
22940, -20.49, 0.47, 23.47
24728, -20.49, 0.47, 23.55
30448, 28.19, -6.62, -3.56
32184, 28.19, -6.62, -4.72
-31592, 28.19, -0.65, -4.84
-25920, 52.99, -4.29, -22.29
-24132, 52.99, -4.29, -23.02
-22324, 52.99, -1.22, -23.22
-16608, 60.97, -2.38, -32.91
-14760, 60.97, -2.38, -33.46
-12948, 60.97, -1.40, -33.69
-11148, 60.97, -1.40, -33.92
-5420, 63.37, -1.75, -41.07
-3680, 63.37, -1.75, -41.37
-1912, 63.37, -1.46, -41.62
3756, 62.08, -1.27, -46.77
5488, 62.08, -1.27, -46.99
7292, 62.08, -1.43, -47.32
9044, 62.08, -1.43, -47.55
14728, 43.05, 1.36, -41.97
16496, 43.05, 1.36, -41.73
18284, 43.05, -0.99, -41.89
23972, 7.22, 4.26, -24.60
25696, 7.22, 4.26, -23.81
27444, 7.22, -0.17, -23.84
29204, 7.22, -0.17, -23.87
-30652, -21.26, 4.02, -7.42
-28924, -21.26, 4.02, -6.72
-27156, -21.26, 0.49, -6.63
-21464, -51.61, 4.94, 13.57
-19684, -51.61, 4.94, 14.44
-17872, -51.61, 1.19, 14.64
-12168, -62.31, 2.75, 25.79
-10332, -62.31, 2.75, 26.44
-8524, -62.31, 1.43, 26.68
-6760, -62.31, 1.43, 26.92
-1064, -45.91, -0.97, 22.94
676, -45.91, -0.97, 22.77
2380, -45.91, 1.06, 22.95
8020, -19.04, -2.91, 11.16
9756, -19.04, -2.91, 10.65
11512, -19.04, 0.44, 10.72
13300, -19.04, 0.44, 10.79
18996, 12.23, -4.14, -6.02
20728, 12.23, -4.14, -6.75
22484, 12.23, -0.28, -6.79
28148, 43.33, -4.85, -26.54
29988, 43.33, -4.85, -27.67
31792, 43.33, -1.00, -27.84
-31952, 43.33, -1.00, -28.00
-26212, 55.45, -2.76, -39.30
-24428, 55.45, -2.76, -39.80
-22624, 55.45, -1.28, -40.01
-16904, 43.27, 0.50, -37.97
-15136, 43.27, 0.50, -37.88
-13348, 43.27, -1.00, -38.05
-7592, 7.90, 4.14, -21.04
-5912, 7.90, 4.14, -20.31
-4212, 7.90, -0.18, -20.34
-2516, 7.90, -0.18, -20.37
3136, -38.56, 6.68, 7.07
4812, -38.56, 6.68, 8.27
6516, -38.56, 0.89, 8.42
8232, -38.56, 0.89, 8.57
13828, -59.00, 3.92, 24.52
15600, -59.00, 3.92, 25.21
17388, -59.00, 1.36, 25.44
23076, -64.94, 2.23, 34.46
24916, -64.94, 2.23, 34.99
26720, -64.94, 1.49, 35.25
32400, -66.63, 1.74, 42.29
-31356, -66.63, 1.74, 42.60
-29552, -66.63, 1.53, 42.86
-27752, -66.63, 1.53, 43.12
-21996, -62.19, 0.89, 46.75
-20216, -62.19, 0.89, 46.91
-18352, -62.19, 1.43, 47.24
-12656, -46.11, -0.92, 43.51
-10868, -46.11, -0.92, 43.35
-9060, -46.11, 1.06, 43.53
-7304, -46.11, 1.06, 43.71
-1644, -11.35, -4.05, 27.25
96, -11.35, -4.05, 26.51
1744, -11.35, 0.26, 26.55
7388, 19.10, -4.24, 9.36
9056, 19.10, -4.24, 8.63
10756, 19.10, -0.44, 8.56
12500, 19.10, -0.44, 8.49
18128, 53.03, -5.46, -13.64
19912, 53.03, -5.46, -14.60
21716, 53.03, -1.22, -14.80
27420, 69.42, -3.61, -29.49
29264, 69.42, -3.61, -30.32
31072, 69.42, -1.60, -30.59
-28736, 57.05, 0.20, -29.75
-26968, 57.05, 0.20, -29.71
-25180, 57.05, -1.31, -29.93
-23372, 57.05, -1.31, -30.14
-17628, 31.25, 2.44, -20.14
-15844, 31.25, 2.44, -19.71
-14040, 31.25, -0.72, -19.83
-8312, 2.98, 3.40, -5.96
-6676, 2.98, 3.40, -5.34
-5028, 2.98, -0.07, -5.35
-3384, 2.98, -0.07, -5.36
2204, -26.31, 4.30, 12.24
3932, -26.31, 4.30, 12.99
5680, -26.31, 0.61, 13.09
11320, -37.80, 2.30, 22.42
13132, -37.80, 2.30, 22.95
14928, -37.80, 0.87, 23.09
16704, -37.80, 0.87, 23.23
22412, -23.78, -1.18, 18.42
24196, -23.78, -1.18, 18.21
26004, -23.78, 0.55, 18.30
31720, 2.59, -3.30, 4.78
-32136, 2.59, -3.30, 4.19
-30432, 2.59, -0.06, 4.18
-28744, 2.59, -0.06, 4.17
-23148, 35.72, -4.98, -16.06
-21368, 35.72, -4.98, -16.96
-19568, 35.72, -0.82, -17.09
-13848, 68.83, -5.65, -40.09
-12008, 68.83, -5.65, -41.40
-10200, 68.83, -1.58, -41.67
-8392, 68.83, -1.58, -41.94
-2716, 82.94, -3.65, -56.82
-976, 82.94, -3.65, -57.48
732, 82.94, -1.91, -57.79
6380, 71.24, -0.18, -58.54
8108, 71.24, -0.18, -58.57
9848, 71.24, -1.64, -58.84
11616, 71.24, -1.64, -59.11
17364, 36.86, 3.35, -45.32
19140, 36.86, 3.35, -44.74
20940, 36.86, -0.85, -44.88
26668, -4.48, 5.19, -23.66
28408, -4.48, 5.19, -22.68
30164, -4.48, 0.10, -22.67
-29708, -46.16, 6.23, 2.71
-27972, -46.16, 6.23, 3.80
-26216, -46.16, 1.06, 3.98
-24456, -46.16, 1.06, 4.16
-18764, -70.68, 4.65, 23.26
-16980, -70.68, 4.65, 24.10
-15120, -70.68, 1.63, 24.47
-9424, -58.82, -0.11, 24.02
-7680, -58.82, -0.11, 24.00
-5936, -58.82, 1.35, 24.21
-4172, -58.82, 1.35, 24.44
1512, -25.56, -3.52, 10.07
3252, -25.56, -3.52, 9.42
4956, -25.56, 0.59, 9.52
10556, 4.63, -3.90, -6.31
12240, 4.63, -3.90, -7.01
13940, 4.63, -0.11, -7.02
15636, 4.63, -0.11, -7.04
21268, 41.85, -5.60, -30.02
23088, 41.85, -5.60, -31.28
24892, 41.85, -0.96, -31.44
30596, 61.43, -3.82, -46.97
32380, 61.43, -3.82, -47.63
-31352, 61.43, -1.41, -47.86
-29528, 61.43, -1.41, -48.10
-23796, 50.12, 0.23, -47.15
-22012, 50.12, 0.23, -47.11
-20148, 50.12, -1.15, -47.37
-14416, 18.56, 3.44, -33.33
-12632, 18.56, 3.44, -32.74
-10828, 18.56, -0.43, -32.81
-5128, -31.47, 6.89, -4.93
-3432, -31.47, 6.89, -3.68
-1716, -31.47, 0.72, -3.57
-8, -31.47, 0.72, -3.45
5476, -62.47, 5.41, 18.63
7212, -62.47, 5.41, 19.63
8964, -62.47, 1.44, 19.86
14588, -86.04, 4.92, 39.74
16420, -86.04, 4.92, 40.92
18212, -86.04, 1.98, 41.25
20008, -86.04, 1.98, 41.59
25732, -84.91, 1.81, 49.00
27496, -84.91, 1.81, 49.33
29300, -84.91, 1.95, 49.66
-30516, -64.05, -1.09, 45.22
-28740, -64.05, -1.09, 45.03
-26880, -64.05, 1.47, 45.36
-25080, -64.05, 1.47, 45.61
-19332, -26.39, -4.00, 29.17
-17556, -26.39, -4.00, 28.46
-15752, -26.39, 0.61, 28.56
-10032, 17.12, -5.74, 5.20
-8308, 17.12, -5.74, 4.19
-6600, 17.12, -0.39, 4.13
-1000, 41.24, -3.98, -11.98
736, 41.24, -3.98, -12.66
2444, 41.24, -0.95, -12.82
4200, 41.24, -0.95, -12.98
9892, 61.06, -3.85, -28.79
11684, 61.06, -3.85, -29.68
13480, 61.06, -1.40, -29.91
19172, 63.19, -1.72, -36.88
20956, 63.19, -1.72, -37.17
22764, 63.19, -1.45, -37.41
24564, 63.19, -1.45, -37.63
30324, 46.73, 0.94, -33.79
32100, 46.73, 0.94, -33.63
-31644, 46.73, -1.07, -33.81
-25932, 17.62, 3.17, -20.90
-24156, 17.62, 3.17, -20.36
-22348, 17.62, -0.41, -20.42
-20548, 17.62, -0.41, -20.49
-14848, -21.73, 5.36, 1.22
-13104, -21.73, 5.36, 2.20
-11356, -21.73, 0.50, 2.29
-5696, -43.74, 3.74, 17.47
-3960, -43.74, 3.74, 18.14
-2200, -43.74, 1.01, 18.31
3512, -34.20, -0.39, 16.72
5244, -34.20, -0.39, 16.65
6980, -34.20, 0.79, 16.78
8728, -34.20, 0.79, 16.91
14408, -4.22, -3.62, 2.09
16092, -4.22, -3.62, 1.44
17800, -4.22, 0.10, 1.46
19500, -4.22, 0.10, 1.47
25104, 16.80, -3.02, -10.83
26876, 16.80, -3.02, -11.35
28664, 16.80, -0.39, -11.41
-31180, 38.36, -3.54, -25.78
-29392, 38.36, -3.54, -26.39
-27580, 38.36, -0.88, -26.53
-21824, 58.84, -3.86, -42.38
-20036, 58.84, -3.86, -43.05
-18232, 58.84, -1.35, -43.28
-16424, 58.84, -1.35, -43.49
-10676, 63.38, -2.01, -51.75
-8892, 63.38, -2.01, -52.10
-7132, 63.38, -1.46, -52.35
-1412, 57.65, -0.62, -54.91
328, 57.65, -0.62, -55.02
2020, 57.65, -1.33, -55.24
3784, 57.65, -1.33, -55.46
9472, 25.30, 3.42, -41.48
11196, 25.30, 3.42, -40.87
12988, 25.30, -0.58, -40.97
18668, -10.82, 4.72, -21.87
20448, -10.82, 4.72, -21.02
22252, -10.82, 0.25, -20.98
27956, -46.76, 5.50, 1.34
29672, -46.76, 5.50, 2.30
31420, -46.76, 1.08, 2.48
-32376, -46.76, 1.08, 2.66
-26696, -71.92, 4.77, 22.17
-24912, -71.92, 4.77, 23.01
-23048, -71.92, 1.65, 23.38
-17356, -69.00, 1.23, 28.34
-15584, -69.00, 1.23, 28.56
-13784, -69.00, 1.59, 28.82
-11988, -69.00, 1.59, 29.08
-6256, -42.65, -2.25, 19.83
-4512, -42.65, -2.25, 19.44
-2744, -42.65, 0.98, 19.60
2916, -16.39, -2.88, 7.83
4604, -16.39, -2.88, 7.32
6308, -16.39, 0.38, 7.38
8000, -16.39, 0.38, 7.45
13608, 21.67, -5.27, -14.00
15380, 21.67, -5.27, -14.95
17176, 21.67, -0.50, -15.03
22884, 43.69, -3.72, -30.17
24724, 43.69, -3.72, -31.06
26512, 43.69, -1.00, -31.22
28312, 43.69, -1.00, -31.39
-31524, 34.24, 0.38, -29.86
-29756, 34.24, 0.38, -29.79
-27960, 34.24, -0.79, -29.92
-22228, 5.36, 3.42, -15.97
-20500, 5.36, 3.42, -15.37
-18736, 5.36, -0.12, -15.39
-13076, -29.77, 5.05, 5.09
-11360, -29.77, 5.05, 5.98
-9604, -29.77, 0.68, 6.09
-7904, -29.77, 0.68, 6.20
-2268, -66.46, 6.10, 31.24
-480, -66.46, 6.10, 32.66
1232, -66.46, 1.53, 32.92
6884, -81.85, 3.80, 48.36
8612, -81.85, 3.80, 49.03
10356, -81.85, 1.88, 49.36
12156, -81.85, 1.88, 49.67
17884, -65.99, -0.43, 47.93
19664, -65.99, -0.43, 47.85
21520, -65.99, 1.52, 48.20
27204, -28.90, -3.92, 32.32
28988, -28.90, -3.92, 31.61
30792, -28.90, 0.66, 31.73
32576, -28.90, 0.66, 31.84
-27248, 22.77, -6.87, 3.74
-25520, 22.77, -6.87, 2.50
-23780, 22.77, -0.52, 2.42
-18140, 52.34, -4.89, -17.33
-16348, 52.34, -4.89, -18.21
-14540, 52.34, -1.20, -18.41
-12716, 52.34, -1.20, -18.61
-6996, 72.42, -4.13, -35.44
-5200, 72.42, -4.13, -36.40
-3444, 72.42, -1.67, -36.68
2212, 69.16, -1.18, -41.47
3948, 69.16, -1.18, -41.67
5712, 69.16, -1.59, -41.93
11372, 45.23, 1.93, -34.09
13136, 45.23, 1.93, -33.76
14932, 45.23, -1.04, -33.93
16732, 45.23, -1.04, -34.10
22460, 18.24, 2.89, -22.25
24240, 18.24, 2.89, -21.74
26032, 18.24, -0.42, -21.81
31736, -19.07, 5.04, -1.34
-32072, -19.07, 5.04, -0.43
-30320, -19.07, 0.44, -0.36
-28576, -19.07, 0.44, -0.28
-22912, -41.01, 3.67, 14.69
-21128, -41.01, 3.67, 15.35
-19324, -41.01, 0.94, 15.51
-13632, -30.81, -0.55, 13.28
-11844, -30.81, -0.55, 13.18
-10032, -30.81, 0.71, 13.30
-8220, -30.81, 0.71, 13.42
-2520, -2.37, -3.45, -0.75
-868, -2.37, -3.45, -1.40
740, -2.37, 0.05, -1.39
6216, 23.15, -3.81, -16.78
8004, 23.15, -3.81, -17.66
9756, 23.15, -0.53, -17.75
11508, 23.15, -0.53, -17.84
17220, 27.01, -1.10, -22.31
18996, 27.01, -1.10, -22.50
20792, 27.01, -0.62, -22.60
26476, 9.63, 1.93, -14.78
28204, 9.63, 1.93, -14.44
29960, 9.63, -0.22, -14.48
31716, 9.63, -0.22, -14.51
-28144, -23.35, 4.62, 4.37
-26408, -23.35, 4.62, 5.18
-24652, -23.35, 0.54, 5.27
-18988, -65.37, 6.71, 32.56
-17136, -65.37, 6.71, 34.17
-15328, -65.37, 1.50, 34.43
-9624, -89.29, 5.00, 54.74
-7896, -89.29, 5.00, 55.62
-6156, -89.29, 2.05, 55.95
-4396, -89.29, 2.05, 56.30
1316, -78.19, 0.43, 58.09
3036, -78.19, 0.43, 58.16
4780, -78.19, 1.80, 58.46
10428, -39.70, -3.88, 42.72
12204, -39.70, -3.88, 42.02
14000, -39.70, 0.91, 42.17
15792, -39.70, 0.91, 42.32
21516, 13.38, -6.83, 14.37
23292, 13.38, -6.83, 13.17
25092, 13.38, -0.31, 13.12
30796, 61.75, -7.39, -16.90
32568, 61.75, -7.39, -18.20
-31168, 61.75, -1.42, -18.43
-29344, 61.75, -1.42, -18.67
-23616, 86.42, -5.01, -39.15
-21772, 86.42, -5.01, -40.32
-19960, 86.42, -1.99, -40.64
-14228, 72.75, 0.00, -40.62
-12468, 72.75, 0.00, -40.62
-10688, 72.75, -1.67, -40.90
-4976, 37.45, 3.48, -26.74
-3248, 37.45, 3.48, -26.14
-1500, 37.45, -0.86, -26.27
260, 37.45, -0.86, -26.41
5880, 5.02, 3.94, -10.32
7556, 5.02, 3.94, -9.63
9204, 5.02, -0.12, -9.64
14716, -27.83, 4.83, 9.79
16444, -27.83, 4.83, 10.68
18248, -27.83, 0.64, 10.78
20048, -27.83, 0.64, 10.89
25768, -40.29, 2.46, 20.93
27600, -40.29, 2.46, 21.52
29400, -40.29, 0.93, 21.67
-30456, -23.18, -1.58, 15.27
-28668, -23.18, -1.58, 14.98
-26864, -23.18, 0.53, 15.07
-25064, -23.18, 0.53, 15.16
-19304, 7.95, -3.99, -1.22
-17620, 7.95, -3.99, -1.92
-15912, 7.95, -0.18, -1.95
-10316, 35.71, -4.31, -19.40
-8528, 35.71, -4.31, -20.16
-6760, 35.71, -0.82, -20.29
-5008, 35.71, -0.82, -20.43
664, 64.98, -5.12, -41.30
2412, 64.98, -5.12, -42.51
4164, 64.98, -1.49, -42.76
9804, 78.06, -3.42, -56.61
11536, 78.06, -3.42, -57.19
13340, 78.06, -1.80, -57.49
15136, 78.06, -1.80, -57.79
20908, 66.18, -0.08, -58.11
22688, 66.18, -0.08, -58.12
24476, 66.18, -1.52, -58.37
30184, 38.48, 2.52, -48.13
31964, 38.48, 2.52, -47.68
-31780, 38.48, -0.89, -47.83
-26068, -5.57, 5.55, -25.25
-24320, -5.57, 5.55, -24.23
-22568, -5.57, 0.13, -24.21
-20804, -5.57, 0.13, -24.19
-15140, -47.14, 6.24, 1.16
-13412, -47.14, 6.24, 2.26
-11648, -47.14, 1.08, 2.44
-5980, -73.43, 4.95, 22.60
-4252, -73.43, 4.95, 23.47
-2492, -73.43, 1.69, 23.75
-676, -73.43, 1.69, 24.13
4952, -67.97, 0.88, 27.73
6680, -67.97, 0.88, 27.89
8420, -67.97, 1.56, 28.14
14060, -37.07, -3.00, 15.99
15828, -37.07, -3.00, 15.46
17616, -37.07, 0.85, 15.60
19392, -37.07, 0.85, 15.74
25136, -5.76, -3.70, 0.53
26820, -5.76, -3.70, -0.14
28516, -5.76, 0.13, -0.12
-31428, 34.86, -5.90, -24.04
-29652, 34.86, -5.90, -25.10
-27864, 34.86, -0.80, -25.23
-26000, 34.86, -0.80, -25.41
-20284, 58.03, -4.18, -42.48
-18508, 58.03, -4.18, -43.20
-16704, 58.03, -1.33, -43.42
-10984, 47.61, 0.18, -42.66
-9208, 47.61, 0.18, -42.63
-7472, 47.61, -1.10, -42.81
-1744, 20.48, 2.86, -31.01
-20, 20.48, 2.86, -30.51
1628, 20.48, -0.47, -30.58
3376, 20.48, -0.47, -30.66
9016, -30.01, 6.98, -2.25
10704, -30.01, 6.98, -0.99
12452, -30.01, 0.69, -0.87
18092, -62.45, 5.48, 21.43
19876, -62.45, 5.48, 22.41
21680, -62.45, 1.44, 22.65
23488, -62.45, 1.44, 22.90
29220, -80.96, 4.13, 39.80
31056, -80.96, 4.13, 40.79
-32676, -80.96, 1.86, 41.11
-27000, -88.55, 2.98, 53.12
-25216, -88.55, 2.98, 53.64
-23412, -88.55, 2.04, 53.99
-21612, -88.55, 2.04, 54.34
-15856, -77.18, 0.39, 55.93
-14076, -77.18, 0.39, 56.00
-12292, -77.18, 1.78, 56.29
-6568, -52.80, -1.78, 49.04
-4832, -52.80, -1.78, 48.72
-3068, -52.80, 1.21, 48.93
2596, -11.50, -4.86, 29.11
4332, -11.50, -4.86, 28.23
6080, -11.50, 0.26, 28.28
7816, -11.50, 0.26, 28.32
13472, 31.86, -6.13, 3.37
15192, 31.86, -6.13, 2.32
16948, 31.86, -0.73, 2.20
22572, 64.53, -5.57, -20.28
24348, 64.53, -5.57, -21.26
26152, 64.53, -1.48, -21.51
27956, 64.53, -1.48, -21.74
-31820, 66.81, -1.82, -29.20
-30036, 66.81, -1.82, -29.52
-28228, 66.81, -1.54, -29.77
-22516, 41.77, 2.13, -21.15
-20736, 41.77, 2.13, -20.77
-18932, 41.77, -0.96, -20.93
-17124, 41.77, -0.96, -21.08
-11424, 15.02, 2.95, -9.08
-9700, 15.02, 2.95, -8.56
-8000, 15.02, -0.35, -8.61
-2384, -11.37, 3.57, 5.91
-696, -11.37, 3.57, 6.54
964, -11.37, 0.26, 6.58
2608, -11.37, 0.26, 6.62
8224, -33.61, 3.56, 21.14
9952, -33.61, 3.56, 21.77
11700, -33.61, 0.77, 21.89
17432, -38.21, 1.44, 27.80
19196, -38.21, 1.44, 28.05
20992, -38.21, 0.88, 28.20
22784, -38.21, 0.88, 28.35
28520, -23.23, -1.30, 23.01
30292, -23.23, -1.30, 22.78
32092, -23.23, 0.53, 22.87
-27756, -6.73, -1.89, 15.21
-26012, -6.73, -1.89, 14.87
-24248, -6.73, 0.15, 14.90
-18636, 21.58, -4.04, -1.37
-16912, 21.58, -4.04, -2.07
-15156, 21.58, -0.50, -2.14
-13412, 21.58, -0.50, -2.22
-7712, 54.45, -5.31, -23.99
-5908, 54.45, -5.31, -25.27
-4152, 54.45, -1.25, -25.47
1524, 67.54, -3.17, -38.38
3264, 67.54, -3.17, -38.93
5016, 67.54, -1.55, -39.18
6768, 67.54, -1.55, -39.43
12456, 53.72, 0.48, -37.49
14224, 53.72, 0.48, -37.41
16024, 53.72, -1.24, -37.61
21768, 21.72, 3.42, -23.66
23540, 21.72, 3.42, -23.06
25332, 21.72, -0.50, -23.14
27128, 21.72, -0.50, -23.22
-32684, -23.91, 6.16, 1.95
-30956, -23.91, 6.16, 3.03
-29200, -23.91, 0.55, 3.12
-23572, -46.38, 3.87, 18.73
-21788, -46.38, 3.87, 19.41
-19980, -46.38, 1.07, 19.59
-18164, -46.38, 1.07, 19.78
-12468, -54.43, 2.24, 28.91
-10680, -54.43, 2.24, 29.30
-8816, -54.43, 1.25, 29.59
-3172, -58.10, 1.79, 36.85
-1436, -58.10, 1.79, 37.17
316, -58.10, 1.34, 37.38
5912, -54.16, 0.75, 40.42
7648, -54.16, 0.75, 40.55
9396, -54.16, 1.25, 40.75
11152, -54.16, 1.25, 40.96
16928, -45.60, 0.01, 40.99
18692, -45.60, 0.01, 41.00
20464, -45.60, 1.05, 41.17
26120, -12.85, -3.77, 26.00
27896, -12.85, -3.77, 25.32
29704, -12.85, 0.30, 25.37
31492, -12.85, 0.30, 25.42
-28336, 16.26, -3.95, 9.33
-26604, 16.26, -3.95, 8.62
-24852, 16.26, -0.37, 8.56
-19232, 41.16, -4.06, -7.78
-17508, 41.16, -4.06, -8.50
-15748, 41.16, -0.95, -8.65
-13984, 41.16, -0.95, -8.80
-8308, 60.83, -3.84, -24.48
-6508, 60.83, -3.84, -25.39
-4756, 60.83, -1.40, -25.61
900, 62.10, -1.59, -32.05
2584, 62.10, -1.59, -32.33
4332, 62.10, -1.43, -32.56
6080, 62.10, -1.43, -32.79
11748, 46.30, 0.89, -29.15
13512, 46.30, 0.89, -29.00
15280, 46.30, -1.07, -29.17
20968, 22.87, 2.37, -19.60
22740, 22.87, 2.37, -19.19
24532, 22.87, -0.53, -19.27
30240, -14.40, 4.92, 0.75
31960, -14.40, 4.92, 1.62
-31832, -14.40, 0.33, 1.67
-30084, -14.40, 0.33, 1.73
-24408, -38.34, 3.86, 17.48
-22632, -38.34, 3.86, 18.16
-20820, -38.34, 0.88, 18.30
-15084, -31.22, -0.15, 17.67
-13296, -31.22, -0.15, 17.64
-11496, -31.22, 0.72, 17.76
-9692, -31.22, 0.72, 17.87
-4012, -2.22, -3.55, 3.38
-2364, -2.22, -3.55, 2.74
-704, -2.22, 0.05, 2.75
4752, 18.58, -3.11, -9.77
6440, 18.58, -3.11, -10.30
8192, 18.58, -0.43, -10.37
9948, 18.58, -0.43, -10.44
15628, 41.01, -3.72, -25.66
17396, 41.01, -3.72, -26.30
19192, 41.01, -0.94, -26.45
24952, 62.62, -4.08, -43.26
26736, 62.62, -4.08, -44.01
28524, 62.62, -1.44, -44.24
30328, 62.62, -1.44, -44.48
-29496, 67.33, -2.13, -53.12
-27712, 67.33, -2.13, -53.49
-25896, 67.33, -1.55, -53.74
-20112, 61.05, -0.64, -56.38
-18332, 61.05, -0.64, -56.50
-16544, 61.05, -1.40, -56.73
-10820, 27.76, 3.45, -42.64
-9036, 27.76, 3.45, -42.00
-7300, 27.76, -0.64, -42.10
-5544, 27.76, -0.64, -42.20
152, -10.52, 4.98, -21.83
1844, -10.52, 4.98, -20.93
3608, -10.52, 0.24, -20.89
9272, -47.99, 5.76, 2.60
10944, -47.99, 5.76, 3.64
12692, -47.99, 1.10, 3.82
14436, -47.99, 1.10, 4.01
20092, -74.03, 4.93, 24.10
21924, -74.03, 4.93, 25.29
23724, -74.03, 1.70, 25.58
29404, -69.76, 1.08, 29.95
31176, -69.76, 1.08, 30.14
-32560, -69.76, 1.60, 30.41
-30764, -69.76, 1.60, 30.68
-25048, -42.44, -2.38, 20.99
-23260, -42.44, -2.38, 20.57
-21448, -42.44, 0.98, 20.74
-15748, -8.27, -4.02, 4.42
-14056, -8.27, -4.02, 3.70
-12356, -8.27, 0.19, 3.73
-10652, -8.27, 0.19, 3.76
-5036, 30.44, -5.55, -18.84
-3300, 30.44, -5.55, -19.80
-1540, 30.44, -0.70, -19.91
4128, 48.19, -3.31, -33.42
5920, 48.19, -3.31, -34.19
7672, 48.19, -1.11, -34.37
9432, 48.19, -1.11, -34.55
15088, 32.96, 1.14, -29.94
16864, 32.96, 1.14, -29.74
18660, 32.96, -0.76, -29.86
24340, 1.31, 3.89, -14.11
26072, 1.31, 3.89, -13.41
27828, 1.31, -0.03, -13.42
29576, 1.31, -0.03, -13.42
-30312, -33.41, 5.09, 7.29
-28580, -33.41, 5.09, 8.23
-26824, -33.41, 0.77, 8.35
-21192, -66.83, 5.71, 31.37
-19348, -66.83, 5.71, 32.77
-17544, -66.83, 1.54, 33.02
-11828, -77.92, 3.16, 45.89
-10040, -77.92, 3.16, 46.44
-8236, -77.92, 1.79, 46.74
-6476, -77.92, 1.79, 47.04
-812, -61.18, -0.67, 44.31
884, -61.18, -0.67, 44.19
2592, -61.18, 1.41, 44.43
8304, -24.66, -3.93, 28.28
10040, -24.66, -3.93, 27.59
11848, -24.66, 0.57, 27.68
13640, -24.66, 0.57, 27.78
19348, 24.31, -6.59, 0.87
21068, 24.31, -6.59, -0.29
22816, 24.31, -0.56, -0.38
28472, 50.17, -4.37, -18.21
30260, 50.17, -4.37, -18.98
32068, 50.17, -1.15, -19.17
-31652, 50.17, -1.15, -19.37
-25928, 66.92, -3.59, -33.99
-24084, 66.92, -3.59, -34.83
