"","x"
"673","-0.24"
"674","-0.27"
"675","-0.27"
"676","-0.27"
"677","-0.27"
"678","-0.27"
"679","-0.41"
"680","-0.41"
"681","-0.41"
"682","-0.41"
"683","-0.41"
"684","-0.46"
"685","-0.46"
"686","-0.46"
"687","-0.46"
"688","-0.46"
"689","-0.14"
"690","-0.14"
"691","-0.14"
"692","-0.14"
"693","-0.14"
"694","-0.10"
"695","-0.10"
"696","-0.10"
"697","-0.10"
"698","-0.10"
"699","-0.02"
"700","-0.02"
"701","-0.02"
"702","-0.02"
"703","-0.02"
"704","0.24"
"705","0.24"
"706","0.24"
"707","0.24"
"708","0.24"
"709","0.28"
"710","0.28"
"711","0.28"
"712","0.28"
"713","0.28"
"714","0.15"
"715","0.15"
"716","0.15"
"717","0.15"
"718","0.15"
"719","0.28"
"720","0.28"
"721","0.28"
"722","0.28"
"723","0.28"
"724","0.40"
"725","0.40"
"726","0.40"
"727","0.40"
"728","0.40"
"729","0.23"
"730","0.23"
"731","0.23"
"732","0.23"
"733","0.23"
"734","0.17"
"735","0.17"
"736","0.17"
"737","0.17"
"738","0.17"
"739","0.22"
"740","0.22"
"741","0.22"
"742","0.22"
"743","0.22"
"744","0.28"
"745","0.28"
"746","0.28"
"747","0.28"
"748","0.28"
"749","0.11"
"750","0.11"
"751","0.11"
"752","0.11"
"753","0.11"
"754","0.17"
"755","0.17"
"756","0.17"
"757","0.17"
"758","0.17"
"759","0.41"
"760","0.41"
"761","0.41"
"762","0.41"
"763","0.41"
"764","0.60"
"765","0.60"
"766","0.60"
"767","0.60"
"768","0.60"
"769","0.54"
"770","0.54"
"771","0.54"
"772","0.54"
"773","0.54"
"774","0.67"
"775","0.67"
"776","0.67"
"777","0.67"
"778","0.67"
"779","0.53"
"780","0.53"
"781","0.53"
"782","0.53"
"783","0.53"
"784","0.42"
"785","0.42"
"786","0.42"
"787","0.42"
"788","0.42"
"789","0.41"
"790","0.41"
"791","0.41"
"792","0.41"
"793","0.41"
"794","0.52"
"795","0.52"
"796","0.52"
"797","0.52"
"798","0.52"
"799","0.39"
"800","0.39"
"801","0.39"
"802","0.39"
"803","0.39"
"804","0.43"
"805","0.43"
"806","0.43"
"807","0.43"
"808","0.43"
"809","0.72"
"810","0.72"
"811","0.72"
"812","0.72"
"813","0.72"
"814","0.41"
"815","0.41"
"816","0.41"
"817","0.41"
"818","0.41"
"819","0.34"
"820","0.34"
"821","0.34"
"822","0.34"
"823","0.34"
"824","0.53"
"825","0.53"
"826","0.53"
"827","0.53"
"828","0.53"
"829","0.31"
"830","0.31"
"831","0.31"
"832","0.31"
"833","0.31"
"834","0.22"
"835","0.22"
"836","0.22"
"837","0.22"
"838","0.22"
"839","0.40"
"840","0.40"
"841","0.40"
"842","0.40"
"843","0.40"
"844","0.35"
"845","0.35"
"846","0.35"
"847","0.35"
"848","0.35"
"849","0.07"
"850","0.07"
"851","0.07"
"852","0.07"
"853","0.07"
"854","-0.11"
"855","-0.11"
"856","-0.11"
"857","-0.11"
"858","-0.11"
"859","-0.53"
"860","-0.53"
"861","-0.53"
"862","-0.53"
"863","-0.53"
"864","-1.46"
"865","-1.46"
"866","-1.46"
"867","-1.46"
"868","-1.46"
"869","-2.50"
"870","-2.50"
"871","-2.50"
"872","-2.50"
"873","-2.50"
"874","-2.06"
"875","-2.06"
"876","-2.06"
"877","-2.06"
"878","-2.06"
"879","-1.61"
"880","-1.61"
"881","-1.61"
"882","-1.61"
"883","-1.61"
"884","-1.64"
"885","-1.64"
"886","-1.64"
"887","-1.64"
"888","-1.64"
"889","-1.31"
"890","-1.31"
"891","-1.31"
"892","-1.31"
"893","-1.31"
"894","-1.46"
"895","-1.46"
"896","-1.46"
"897","-1.46"
"898","-1.46"
"899","-1.87"
"900","-1.87"
"901","-1.87"
"902","-1.87"
"903","-1.87"
"904","-1.89"
"905","-1.89"
"906","-1.89"
"907","-1.89"
"908","-1.89"
"909","-1.10"
"910","-1.10"
"911","-1.10"
"912","-1.10"
"913","-1.10"
"914","-1.66"
"915","-1.66"
"916","-1.66"
"917","-1.66"
"918","-1.66"
"919","-1.21"
"920","-1.21"
"921","-1.21"
"922","-1.21"
"923","-1.21"
"924","-0.74"
"925","-0.74"
"926","-0.74"
"927","-0.74"
"928","-0.74"
"929","-1.37"
"930","-1.37"
"931","-1.37"
"932","-1.37"
"933","-1.37"
"934","-0.42"
"935","-0.42"
"936","-0.42"
"937","-0.42"
"938","-0.42"
"939","-0.78"
"940","-0.78"
"941","-0.78"
"942","-0.78"
"943","-0.78"
"944","-0.80"
"945","-0.80"
"946","-0.80"
"947","-0.80"
"948","-0.80"
"949","-0.64"
"950","-0.64"
"951","-0.64"
"952","-0.64"
"953","-0.64"
"954","-0.53"
"955","-0.53"
"956","-0.53"
"957","-0.53"
"958","-0.53"
"959","-0.40"
"960","-0.40"
"961","-0.40"
"962","-0.40"
"963","-0.40"
"964","-0.67"
"965","-0.67"
"966","-0.67"
"967","-0.67"
"968","-0.67"
"969","-0.32"
"970","-0.32"
"971","-0.32"
"972","-0.32"
"973","-0.32"
"974","0.18"
"975","0.18"
"976","0.18"
"977","0.18"
"978","0.18"
"979","-0.25"
"980","-0.25"
"981","-0.25"
"982","-0.25"
"983","-0.25"
"984","-0.41"
"985","-0.41"
"986","-0.41"
"987","-0.41"
"988","-0.41"
"989","-0.22"
"990","-0.22"
"991","-0.22"
"992","-0.22"
"993","-0.22"
"994","0.30"
"995","0.30"
"996","0.30"
"997","0.30"
"998","0.30"
"999","0.26"
"1000","0.26"
"1001","0.26"
"1002","0.26"
"1003","0.26"
"1004","-0.08"
"1005","-0.08"
"1006","-0.08"
"1007","-0.08"
"1008","-0.08"
"1009","0.61"
"1010","0.61"
"1011","0.61"
"1012","0.61"
"1013","0.61"
"1014","0.26"
"1015","0.26"
"1016","0.26"
"1017","0.26"
"1018","0.26"
"1019","-0.21"
"1020","-0.21"
"1021","-0.21"
"1022","-0.21"
"1023","-0.21"
"1024","0.24"
"1025","0.24"
"1026","0.24"
"1027","0.24"
"1028","0.24"
"1029","0.37"
"1030","0.37"
"1031","0.37"
"1032","0.37"
"1033","0.37"
"1034","0.06"
"1035","0.06"
"1036","0.06"
"1037","0.06"
"1038","0.06"
"1039","-0.01"
"1040","-0.01"
"1041","-0.01"
"1042","-0.01"
"1043","-0.01"
"1044","-0.61"
"1045","-0.61"
"1046","-0.61"
"1047","-0.61"
"1048","-0.61"
"1049","-0.10"
"1050","-0.10"
"1051","-0.10"
"1052","-0.10"
"1053","-0.10"
"1054","0.42"
"1055","0.42"
"1056","0.42"
"1057","0.42"
"1058","0.42"
"1059","0.39"
"1060","0.39"
"1061","0.39"
"1062","0.39"
"1063","0.39"
"1064","0.02"
"1065","0.02"
"1066","0.02"
"1067","0.02"
"1068","0.02"
"1069","0.01"
"1070","0.01"
"1071","0.01"
"1072","0.01"
"1073","0.01"
"1074","-0.20"
"1075","-0.20"
"1076","-0.20"
"1077","-0.20"
"1078","-0.20"
"1079","-0.57"
"1080","-0.57"
"1081","-0.57"
"1082","-0.57"
"1083","-0.57"
"1084","-0.38"
"1085","-0.38"
"1086","-0.38"
"1087","-0.38"
"1088","-0.38"
"1089","0.36"
"1090","0.36"
"1091","0.36"
"1092","0.36"
"1093","0.36"
"1094","0.10"
"1095","0.10"
"1096","0.10"
"1097","0.10"
"1098","0.10"
"1099","-0.40"
"1100","-0.40"
"1101","-0.40"
"1102","-0.40"
"1103","-0.40"
"1104","0.06"
"1105","0.06"
"1106","0.06"
"1107","0.06"
"1108","0.06"
"1109","-0.23"
"1110","-0.23"
"1111","-0.23"
"1112","-0.23"
"1113","-0.23"
"1114","-0.39"
"1115","-0.39"
"1116","-0.39"
"1117","-0.39"
"1118","-0.39"
"1119","-0.41"
"1120","-0.41"
"1121","-0.41"
"1122","-0.41"
"1123","-0.41"
"1124","-0.17"
"1125","-0.17"
"1126","-0.17"
"1127","-0.17"
"1128","-0.30"
"1129","-0.30"
"1130","-0.30"
"1131","-0.30"
"1132","-0.30"
"1133","-0.53"
"1134","-0.53"
"1135","-0.53"
"1136","-0.53"
"1137","-0.53"
"1138","-1.02"
"1139","-1.02"
"1140","-1.02"
"1141","-1.02"
"1142","-1.02"
"1143","-0.97"
"1144","-0.97"
"1145","-0.97"
"1146","-0.97"
"1147","-0.97"
"1148","-0.53"
"1149","-0.53"
"1150","-0.53"
"1151","-0.53"
"1152","-0.60"
"1153","-0.60"
"1154","-0.60"
"1155","-0.60"
"1156","-0.60"
"1157","-0.52"
"1158","-0.52"
"1159","-0.52"
"1160","-0.52"
"1161","-0.52"
"1162","-0.14"
"1163","-0.14"
"1164","-0.14"
"1165","-0.14"
"1166","-0.14"
"1167","0.25"
"1168","0.25"
"1169","0.25"
"1170","0.25"
"1171","0.25"
"1172","0.83"
"1173","0.83"
"1174","0.83"
"1175","0.83"
"1176","0.83"
"1177","0.87"
"1178","0.87"
"1179","0.87"
"1180","0.87"
"1181","0.87"
"1182","0.97"
"1183","0.97"
"1184","0.97"
"1185","0.97"
"1186","0.97"
"1187","1.01"
"1188","1.01"
"1189","1.01"
"1190","1.01"
"1191","1.01"
"1192","1.13"
"1193","1.13"
"1194","1.13"
"1195","1.13"
"1196","1.13"
"1197","1.21"
"1198","1.21"
"1199","1.21"
"1200","1.21"
"1201","1.21"
"1202","1.69"
"1203","1.69"
"1204","1.69"
"1205","1.69"
"1206","1.69"
"1207","1.63"
"1208","1.63"
"1209","1.63"
"1210","1.63"
"1211","1.63"
"1212","1.88"
"1213","1.88"
"1214","1.88"
"1215","1.88"
"1216","1.88"
"1217","1.76"
"1218","1.76"
"1219","1.76"
"1220","1.76"
"1221","1.76"
"1222","1.76"
"1223","1.85"
"1224","1.85"
"1225","1.85"
"1226","1.85"
"1227","1.85"
"1228","1.85"
"1229","1.17"
"1230","1.17"
"1231","1.17"
"1232","1.17"
"1233","1.17"
"1234","1.61"
"1235","1.61"
"1236","1.61"
"1237","1.61"
"1238","1.61"
"1239","1.16"
"1240","1.16"
"1241","1.16"
"1242","1.16"
"1243","1.16"
"1244","1.07"
"1245","1.07"
"1246","1.07"
"1247","1.07"
"1248","1.07"
"1249","1.43"
"1250","1.43"
"1251","1.43"
"1252","1.43"
"1253","1.43"
"1254","1.43"
"1255","1.03"
"1256","1.03"
"1257","1.03"
"1258","1.03"
"1259","1.03"
"1260","0.65"
"1261","0.65"
"1262","0.65"
"1263","0.65"
"1264","0.65"
"1265","0.47"
"1266","0.47"
"1267","0.47"
"1268","0.47"
"1269","0.47"
"1270","0.40"
"1271","0.40"
"1272","0.40"
"1273","0.40"
"1274","0.40"
"1275","0.07"
"1276","0.07"
"1277","0.07"
"1278","0.07"
"1279","0.07"
"1280","-0.14"
"1281","-0.14"
"1282","-0.14"
"1283","-0.14"
"1284","-0.14"
"1285","-0.14"
"1286","-0.14"
"1287","-0.14"
"1288","-0.14"
"1289","-0.14"
"1290","-0.39"
"1291","-0.39"
"1292","-0.39"
"1293","-0.39"
"1294","-0.39"
"1295","-0.80"
"1296","-0.80"
"1297","-0.80"
"1298","-0.80"
"1299","-0.80"
"1300","-0.68"
"1301","-0.68"
"1302","-0.68"
"1303","-0.68"
"1304","-0.68"
"1305","-0.57"
"1306","-0.57"
"1307","-0.57"
"1308","-0.57"
"1309","-0.57"
"1310","-1.04"
"1311","-1.04"
"1312","-1.04"
"1313","-1.04"
"1314","-1.04"
"1315","-1.12"
"1316","-1.12"
"1317","-1.12"
"1318","-1.12"
"1319","-1.12"
"1320","-0.73"
"1321","-0.73"
"1322","-0.73"
"1323","-0.73"
"1324","-0.73"
"1325","-0.77"
"1326","-0.77"
"1327","-0.77"
"1328","-0.77"
"1329","-0.77"
"1330","-0.84"
"1331","-0.84"
"1332","-0.84"
"1333","-0.84"
"1334","-0.84"
"1335","-0.44"
"1336","-0.44"
"1337","-0.44"
"1338","-0.44"
"1339","-0.44"
"1340","-0.25"
"1341","-0.25"
"1342","-0.25"
"1343","-0.25"
"1344","-0.25"
"1345","-0.55"
"1346","-0.55"
"1347","-0.55"
"1348","-0.55"
"1349","-0.55"
"1350","-0.62"
"1351","-0.62"
"1352","-0.62"
"1353","-0.62"
"1354","-0.62"
"1355","-0.15"
"1356","-0.15"
"1357","-0.15"
"1358","-0.15"
"1359","-0.15"
"1360","0.10"
"1361","0.10"
"1362","0.10"
"1363","0.10"
"1364","0.10"
"1365","0.10"
"1366","-0.68"
"1367","-0.68"
