-24832, -0.03, -199.60, -0.09
-24819, 0.41, -195.12, -0.07
-24806, 0.28, -192.06, -0.01
-24793, 0.01, -191.99, -0.13
-24780, 0.58, -185.59, -0.08
-24767, 0.28, -182.47, -0.10
-24754, 0.40, -178.08, -0.22
-24741, 0.92, -168.00, -0.18
-24728, 0.71, -160.20, -0.21
-24715, 0.83, -151.04, -0.25
-24702, 1.02, -139.87, -0.18
-24689, 0.69, -132.28, -0.23
-24676, 0.95, -121.83, -0.29
-24663, 1.20, -108.63, -0.30
-24649, 1.18, -95.60, -0.34
-24636, 1.36, -80.67, -0.36
-24623, 1.47, -64.54, -0.32
-24610, 1.28, -50.43, -0.31
-24597, 1.25, -36.68, -0.39
-24584, 1.61, -18.96, -0.21
-24571, 0.78, -10.43, -0.38
-24558, 1.57, 6.86, -0.33
-24545, 1.29, 21.02, -0.26
-24532, 1.04, 32.42, -0.39
-24519, 1.63, 50.35, -0.32
-24506, 1.24, 64.00, -0.30
-24493, 1.18, 76.99, -0.31
-24479, 1.26, 90.82, -0.21
-24466, 0.78, 99.43, -0.23
-24453, 0.92, 109.57, -0.28
-24440, 1.16, 122.33, -0.14
-24427, 0.51, 127.95, -0.20
-24414, 0.82, 136.94, -0.13
-24401, 0.50, 142.47, -0.03
-24388, 0.07, 143.22, -0.06
-24375, 0.25, 145.98, -0.03
-24362, 0.11, 147.18, 0.01
-24349, -0.08, 146.35, 0.00
-24336, 0.00, 146.41, 0.04
-24323, -0.16, 144.62, 0.10
-24309, -0.44, 139.76, 0.06
-24296, -0.21, 137.44, 0.06
-24283, -0.26, 134.58, 0.10
-24270, -0.42, 130.01, 0.08
-24257, -0.30, 126.75, 0.08
-24244, -0.32, 123.24, 0.10
-24231, -0.42, 118.60, 0.01
-24218, -0.01, 118.45, 0.03
-24205, -0.13, 117.06, 0.02
-24192, -0.08, 116.20, -0.00
-24179, 0.03, 116.48, -0.00
-24166, 0.00, 116.48, 0.01
-24153, -0.03, 116.19, -0.03
-24140, 0.14, 117.77, 0.00
-24127, -0.03, 117.44, -0.02
-24114, 0.08, 118.35, 0.00
-24101, -0.02, 118.12, 0.04
-24088, -0.18, 116.13, 0.06
-24075, -0.26, 113.27, 0.06
-24062, -0.22, 110.85, 0.12
-24049, -0.49, 105.50, 0.10
-24036, -0.41, 100.98, 0.14
-24023, -0.58, 94.56, 0.17
-24009, -0.69, 86.95, 0.16
-23996, -0.65, 79.74, 0.17
-23983, -0.68, 72.24, 0.19
-23970, -0.77, 63.78, 0.15
-23957, -0.58, 57.43, 0.15
-23944, -0.59, 50.93, 0.18
-23931, -0.73, 42.87, 0.14
-23918, -0.56, 36.75, 0.19
-23905, -0.80, 27.95, 0.11
-23892, -0.41, 23.40, 0.20
-23879, -0.85, 14.04, 0.19
-23866, -0.76, 5.69, 0.15
-23853, -0.60, -0.92, 0.21
-23839, -0.84, -10.20, 0.12
-23826, -0.46, -15.31, 0.23
-23813, -0.97, -25.95, 0.17
-23800, -0.66, -33.16, 0.17
-23787, -0.70, -40.86, 0.21
-23774, -0.87, -50.42, 0.16
-23761, -0.63, -57.38, 0.16
-23748, -0.64, -64.36, 0.16
-23735, -0.63, -71.26, 0.12
-23722, -0.47, -76.42, 0.14
-23709, -0.58, -82.76, 0.12
-23696, -0.47, -87.98, 0.10
-23683, -0.39, -92.27, 0.10
-23669, -0.41, -96.75, 0.07
-23656, -0.27, -99.76, 0.10
-23643, -0.39, -104.04, 0.09
-23630, -0.34, -107.81, 0.05
-23617, -0.19, -109.89, 0.08
-23604, -0.32, -113.46, 0.07
-23591, -0.28, -116.57, 0.06
-23578, -0.23, -119.07, 0.05
-23565, -0.21, -121.41, 0.08
-23552, -0.33, -125.04, 0.03
-23539, -0.12, -126.36, 0.05
-23526, -0.21, -128.71, 0.05
-23513, -0.20, -130.95, 0.04
